"IndividualId","Time [min]","Organism|VenousBlood|Plasma|Inulin|Concentration in container [µmol/l]"
0,0,0
0,0.3,813.1732
0,0.6,624.8887
0,0.9,540.4449
0,1.2,479.8242
0,1.5,432.7946
0,1.8,394.9449
0,2.1,363.7321
0,2.4,337.5235
0,2.7,315.1851
0,3,295.8999
0,3.3,279.0652
0,3.6,264.2231
0,3.9,251.0215
0,4.2,239.1896
0,4.5,228.5147
0,4.8,218.8272
0,5.1,209.9903
0,5.4,201.8933
0,5.7,194.4457
0,6,187.5726
0,6.3,181.2108
0,6.6,175.3065
0,6.9,169.8139
0,7.2,164.6934
0,7.5,159.9106
0,7.8,155.4354
0,8.1,151.2412
0,8.4,147.304
0,8.7,143.6029
0,9,140.1185
0,9.3,136.8339
0,9.6,133.7338
0,9.9,130.8042
0,10.2,128.0326
0,10.5,125.4075
0,10.8,122.9183
0,11.1,120.5553
0,11.4,118.3098
0,11.7,116.1734
0,12,114.1385
0,12.3,112.1986
0,12.6,110.3469
0,12.9,108.5778
0,13.2,106.886
0,13.5,105.2664
0,13.8,103.7147
0,14.1,102.2264
0,14.4,100.7978
0,14.7,99.42511
0,15,98.10497
0,15.3,96.83425
0,15.6,95.60991
0,15.9,94.42933
0,16.2,93.28991
0,16.5,92.18929
0,16.8,91.12534
0,17.1,90.09599
0,17.4,89.09933
0,17.7,88.13363
0,18,87.1972
0,18.3,86.28848
0,18.6,85.40603
0,18.9,84.54854
0,19.2,83.71468
0,19.5,82.90324
0,19.8,82.11311
0,20.1,81.34333
0,20.4,80.59283
0,20.7,79.8606
0,21,79.14587
0,21.3,78.44788
0,21.6,77.76575
0,21.9,77.09872
0,22.2,76.44624
0,22.5,75.80762
0,22.8,75.18224
0,23.1,74.56954
0,23.4,73.96901
0,23.7,73.38013
0,24,72.80241
0,24.3,72.23543
0,24.6,71.67875
0,24.9,71.13196
0,25.2,70.59466
0,25.5,70.06651
0,25.8,69.54716
0,26.1,69.03628
0,26.4,68.53352
0,26.7,68.03865
0,27,67.55136
0,27.3,67.07137
0,27.6,66.59844
0,27.9,66.13234
0,28.2,65.67283
0,28.5,65.2197
0,28.8,64.77273
0,29.1,64.33174
0,29.4,63.89655
0,29.7,63.46695
0,30,63.04281
0,30.3,62.62394
0,30.6,62.21021
0,30.9,61.80144
0,31.2,61.39749
0,31.5,60.99822
0,31.8,60.60356
0,32.1,60.21334
0,32.4,59.82745
0,32.7,59.44576
0,33,59.06814
0,33.3,58.6945
0,33.6,58.3248
0,33.9,57.95889
0,34.2,57.59669
0,34.5,57.2381
0,34.8,56.88302
0,35.1,56.53138
0,35.4,56.18314
0,35.7,55.83819
0,36,55.49647
0,36.3,55.1579
0,36.6,54.82241
0,36.9,54.48995
0,37.2,54.16047
0,37.5,53.83389
0,37.8,53.51015
0,38.1,53.18922
0,38.4,52.87103
0,38.7,52.55552
0,39,52.24266
0,39.3,51.9324
0,39.6,51.62469
0,39.9,51.31948
0,40.2,51.01673
0,40.5,50.71641
0,40.8,50.41848
0,41.1,50.12291
0,41.4,49.82963
0,41.7,49.53863
0,42,49.24986
0,42.3,48.96328
0,42.6,48.67886
0,42.9,48.39656
0,43.2,48.11633
0,43.5,47.83825
0,43.8,47.56222
0,44.1,47.28821
0,44.4,47.01618
0,44.7,46.74611
0,45,46.47796
0,45.3,46.2117
0,45.6,45.9473
0,45.9,45.68472
0,46.2,45.42394
0,46.5,45.16508
0,46.8,44.908
0,47.1,44.65269
0,47.4,44.39912
0,47.7,44.14725
0,48,43.89709
0,48.3,43.64859
0,48.6,43.40173
0,48.9,43.15648
0,49.2,42.91286
0,49.5,42.6709
0,49.8,42.43053
0,50.1,42.19173
0,50.4,41.95449
0,50.7,41.71878
0,51,41.4846
0,51.3,41.25192
0,51.6,41.02073
0,51.9,40.79102
0,52.2,40.56278
0,52.5,40.336
0,52.8,40.11065
0,53.1,39.88674
0,53.4,39.66424
0,53.7,39.44314
0,54,39.22343
0,54.3,39.0051
0,54.6,38.78813
0,54.9,38.57252
0,55.2,38.35825
0,55.5,38.14531
0,55.8,37.93368
0,56.1,37.72336
0,56.4,37.51434
0,56.7,37.3066
0,57,37.10014
0,57.3,36.89493
0,57.6,36.69098
0,57.9,36.48827
0,58.2,36.2868
0,58.5,36.08655
0,58.8,35.88751
0,59.1,35.68967
0,59.4,35.49303
0,59.7,35.29757
0,60,35.10328
0,60.3,34.91014
0,60.6,34.71816
0,60.9,34.52732
0,61.2,34.33762
0,61.5,34.14906
0,61.8,33.96161
0,62.1,33.77528
0,62.4,33.59004
0,62.7,33.4059
0,63,33.22284
0,63.3,33.04086
0,63.6,32.85994
0,63.9,32.68009
0,64.2,32.50129
0,64.5,32.32354
0,64.8,32.14683
0,65.1,31.97115
0,65.4,31.79649
