"IndividualId","Time [min]","Organism|VenousBlood|Plasma|Inulin|Concentration in container [µmol/l]","Organism|Bone|Inulin|Whole Organ [µmol/l]","Organism|Heart|Inulin|Whole Organ [µmol/l]","Organism|SmallIntestine|Inulin|Whole Organ (Small Intestine) [µmol/l]","Organism|LargeIntestine|Inulin|Whole Organ (Large Intestine) [µmol/l]","Organism|Lung|Inulin|Whole Organ [µmol/l]","Organism|Muscle|Inulin|Whole Organ [µmol/l]","Organism|Skin|Inulin|Whole Organ [µmol/l]"
0,0,0,0,0,0,0,0,0,0
0,0.5,66.44793,0.5862643,7.544037,4.963257,12.07915,19.42079,0.2781926,0.54129
0,1,51.8316,0.9482056,8.211295,7.277285,17.39481,21.00189,0.5052773,0.9214106
0,1.5,43.27948,1.20707,7.685072,8.082058,19.46725,20.90012,0.6805844,1.215805
0,2,37.35128,1.400924,6.871233,8.167789,19.94633,19.94411,0.8204111,1.455441
0,2.5,32.96929,1.54765,6.081048,7.897799,19.58072,18.6325,0.9343194,1.655444
0,3,29.58998,1.658741,5.40092,7.465399,18.77757,17.22988,1.028544,1.825207
0,3.5,26.89722,1.74214,4.838359,6.974499,17.76888,15.86895,1.107307,1.971037
0,4,24.69369,1.803588,4.3773,6.480014,16.68874,14.61025,1.173588,2.09739
0,4.5,22.85144,1.847369,3.997552,6.009459,15.61354,13.47554,1.22957,2.207537
0,5,21.28483,1.876775,3.681228,5.575068,14.58502,12.46643,1.276904,2.303957
0,5.5,19.93426,1.8944,3.414388,5.180978,13.62446,11.57529,1.316879,2.388593
0,6,18.75726,1.902327,3.186417,4.82692,12.7407,10.79043,1.35053,2.463005
0,6.5,17.72268,1.902251,2.989386,4.510418,11.93518,10.09914,1.3787,2.528467
0,7,16.80676,1.895576,2.817445,4.228171,11.20536,9.489326,1.402093,2.586044
0,7.5,15.99106,1.883472,2.666148,3.976605,10.5465,8.950003,1.421304,2.636637
0,8,15.26094,1.866918,2.532076,3.752216,9.95281,8.471487,1.43684,2.681016
0,8.5,14.60449,1.846741,2.412567,3.551769,9.418221,8.045436,1.449135,2.719845
0,9,14.01185,1.823644,2.305486,3.372367,8.936813,7.664736,1.45857,2.753703
0,9.5,13.47477,1.798221,2.209089,3.211434,8.502984,7.323317,1.465475,2.783095
0,10,12.98635,1.770975,2.121946,3.066684,8.111506,7.015989,1.470139,2.808464
0,10.5,12.54075,1.742334,2.042879,2.936118,7.757613,6.738332,1.472814,2.830202
0,11,12.13294,1.712661,1.970895,2.818002,7.437035,6.486596,1.473723,2.848653
0,11.5,11.75856,1.682263,1.905141,2.710844,7.14601,6.257587,1.473066,2.864126
0,12,11.41384,1.651399,1.844887,2.61334,6.881177,6.048565,1.471016,2.876894
0,12.5,11.09547,1.620293,1.789492,2.524369,6.639615,5.857165,1.467729,2.887202
0,13,10.80057,1.589128,1.738402,2.442938,6.41871,5.681332,1.463346,2.89527
0,13.5,10.52667,1.55806,1.691151,2.368186,6.216143,5.5193,1.457988,2.901294
0,14,10.27159,1.527217,1.647323,2.299357,6.029876,5.36952,1.451766,2.905451
0,14.5,10.03343,1.496704,1.606567,2.235795,5.85811,5.230668,1.444777,2.907898
0,15,9.810503,1.466609,1.568567,2.176931,5.699283,5.101584,1.437109,2.908779
0,15.5,9.601308,1.437002,1.533044,2.122269,5.55202,4.981258,1.42884,2.908223
0,16,9.40451,1.40794,1.499749,2.071371,5.41512,4.868794,1.420043,2.906349
0,16.5,9.21894,1.379469,1.468465,2.023853,5.287517,4.763406,1.41078,2.903264
0,17,9.043548,1.351622,1.438996,1.979371,5.16827,4.664393,1.401108,2.899064
0,17.5,8.877417,1.324425,1.411174,1.937623,5.056537,4.571139,1.391079,2.893838
0,18,8.719725,1.297896,1.384849,1.898345,4.951583,4.483102,1.380739,2.887667
0,18.5,8.569738,1.272045,1.359887,1.8613,4.852751,4.399801,1.370129,2.880624
0,19,8.426796,1.24688,1.336168,1.826282,4.759466,4.32081,1.359287,2.872778
0,19.5,8.290318,1.2224,1.313587,1.793107,4.671216,4.24575,1.348247,2.86419
0,20,8.159762,1.198603,1.292044,1.76161,4.587545,4.174277,1.337039,2.854917
0,20.5,8.034663,1.175484,1.271454,1.731645,4.508051,4.106092,1.325692,2.845011
0,21,7.914586,1.153034,1.251739,1.703079,4.432366,4.040917,1.314229,2.834521
0,21.5,7.799133,1.131243,1.232827,1.675793,4.360165,3.978503,1.302675,2.823492
0,22,7.687973,1.110098,1.214658,1.649684,4.291157,3.918635,1.291049,2.811965
0,22.5,7.580768,1.089587,1.197173,1.624652,4.22507,3.861103,1.27937,2.799978
0,23,7.477252,1.069692,1.180323,1.600615,4.16168,3.805738,1.267655,2.787566
0,23.5,7.377157,1.0504,1.164062,1.577494,4.100764,3.752372,1.255918,2.774762
0,24,7.280253,1.031693,1.148349,1.555222,4.042138,3.700865,1.244174,2.761596
0,24.5,7.186328,1.013554,1.133145,1.533736,3.985631,3.651083,1.232434,2.748096
0,25,7.095189,0.995965,1.118417,1.512979,3.931087,3.602909,1.220709,2.734289
0,25.5,7.006657,0.9789094,1.104132,1.492903,3.878371,3.556234,1.20901,2.720199
0,26,6.920569,0.9623693,1.090263,1.473459,3.827354,3.510961,1.197346,2.705848
